datum,base.HU,peak.HU,base.RS,peak.RS,WGenRO,GenHU,FLoadHU,TempHU,Flag,CO2Price
01/01/2017,41.25416667,43.91833333,42.75916667,46.43833333,1016.541667,3498.541667,3947.302083,-3.083333333,1,5.6
02/01/2017,49.70708333,62.58,53.89375,60.41166667,1315.75,3754.78125,5035.21875,-2.916666667,0,6.12
03/01/2017,62.14041667,73.72833333,62.3775,69.70583333,557.9166667,3897.677083,5258.125,-1.333333333,0,5.43
04/01/2017,55.97125,66.12916667,61.54958333,69.64666667,1286.458333,3992.1875,5195.291667,0,0,5.72
05/01/2017,55.15166667,67.45,61.75416667,69.17333333,923.9166667,4439.864583,5248.4375,-2.291666667,0,5.29
06/01/2017,51.33083333,60.38666667,55.53541667,61.2625,2699.125,4509.541667,5301.96875,-8.291666667,0,5.05
07/01/2017,50.23375,59.5875,55.70458333,61.50666667,2029.625,3924.125,4992.75,-10.70833333,0,5.05
08/01/2017,53.86958333,62.71416667,50.63083333,57.48333333,858.5,3331.239583,4655.5,-9.916666667,0,5.05
09/01/2017,74.52416667,90.9725,66.83,78.05916667,423.875,3533.53125,5496.520833,-7.583333333,0,5.27
10/01/2017,97.09041667,126.3016667,122.4554167,140.3625,1458.083333,3553.458333,5618.197917,-9.125,0,5.51
11/01/2017,150.0166667,224.2491667,151.31125,181.5483333,1723.666667,3858.322917,5570.15625,-7.625,0,5.52
12/01/2017,79.79083333,91.21166667,98.0225,116.9983333,1749.75,3985.072917,5600.90625,-3.625,0,5.04
13/01/2017,73.68541667,88.09916667,77.70166667,88.79916667,1791.5,4161.427083,5630.666667,-0.083333333,0,5.04
14/01/2017,66.06708333,86.78583333,69.86958333,76.0275,1889.708333,3897.677083,5038.4375,-1.208333333,0,5.04
15/01/2017,74.2375,88.845,70.62291667,75.28333333,448.5833333,3782.552083,4824.34375,-4.208333333,0,5.04
16/01/2017,74.2375,88.845,92.26416667,110.2325,1332.583333,4022.09375,5489.364583,-5.791666667,0,4.7
17/01/2017,81.73,99.93333333,92.19583333,114.5175,2469.166667,4094.15625,5577.458333,-5.208333333,0,5
18/01/2017,89.94666667,118.81,103.8154167,129.28,2419,4203.833333,5524.333333,-6,0,4.84
19/01/2017,83.76833333,114.2183333,108.1620833,131.7225,1604.625,4024.96875,5509.375,-8.541666667,0,5.2
20/01/2017,94.745,117.5841667,101.9945833,120.9983333,726.7083333,3978.083333,5539.8125,-9.041666667,0,5.42
21/01/2017,97.64875,115.0908333,75.14333333,84.88583333,1063.708333,3713.59375,5080.010417,-7.041666667,0,5.42
22/01/2017,79.77541667,92.52666667,22.21625,24.12333333,340.2083333,3907.479167,4897.302083,-7.5,0,5.42
23/01/2017,90.70625,119.1275,81.29291667,98.35166667,346.7083333,4260.458333,5483.78125,-6.625,0,5.31
24/01/2017,99.10875,125.8983333,96.66291667,121.4633333,454.4583333,4248.645833,5630.833333,-5.25,0,5.07
25/01/2017,97.99916667,125.5475,96.73791667,123.2683333,1560,4256.197917,5625.041667,-5,0,4.97
26/01/2017,95.94708333,129.4316667,100.3570833,128.7183333,1714.041667,4216.125,5639.072917,-6.166666667,0,5.19
27/01/2017,108.9995833,133.4891667,96.46291667,122.4691667,982.6666667,3864.729167,5508.8125,-8.416666667,0,4.92
28/01/2017,109.6820833,138.2033333,95.06458333,117.2591667,330.8333333,3482.5625,5182.25,-7.833333333,0,4.92
29/01/2017,83.24,98.65916667,90.76041667,110.5533333,216.375,3305.875,5019.760417,-7.916666667,0,4.92
30/01/2017,104.27625,135.0533333,107.0570833,138.705,841.2916667,3475.84375,5615.697917,-7.666666667,0,5.16
31/01/2017,112.51875,137.6733333,108.2254167,138.9583333,727.4583333,3547.416667,5686.635417,-4.166666667,0,5.35
01/02/2017,108.0091667,140.7241667,109.735,136.04,917.375,3105.604167,5613.135417,0.791666667,0,5.27
02/02/2017,105.7391667,138.4358333,93.07416667,118.8783333,464.8333333,3251.46875,5540.71875,1,0,5.22
03/02/2017,74.22958333,93.07666667,80.28791667,99.9975,1363.125,3231.447917,5382.395833,2.375,0,5.15
04/02/2017,53.82875,60.275,54.69708333,62.42333333,1352.916667,3086.729167,4812.708333,2.291666667,0,5.15
05/02/2017,44.26291667,48.97166667,49.88916667,55.36333333,794.3333333,2945.291667,4549.385417,2.791666667,0,5.15
06/02/2017,68.45166667,86.26833333,69.71125,87.50916667,870.6666667,3197.75,5300.84375,2.541666667,0,5.09
07/02/2017,62.69083333,74.12083333,60.50583333,72.53,1210.416667,3240.5625,5262.635417,1.833333333,0,5.16
08/02/2017,59.65958333,71.985,61.48208333,72.76,1885.666667,3321.3125,5199.479167,-0.25,0,5.21
09/02/2017,60.65416667,73.02166667,59.22458333,71.4175,1533.125,3340.25,5246.458333,-0.041666667,0,5.28
10/02/2017,58.64333333,70.32416667,51.26666667,58.74583333,671.25,3326.5625,5325.885417,-0.083333333,0,5.12
11/02/2017,41.89166667,46.55583333,50.41958333,56.84416667,590.75,3101.135417,4826.114583,0.25,0,5.12
12/02/2017,38.02958333,41.48,43.76375,47.89666667,524.3333333,3095.802083,4595.416667,0.625,0,5.12
13/02/2017,56.11041667,70.235,53.01625,62.1375,514.6666667,3266.96875,5269.010417,0.375,0,4.9
14/02/2017,54.2425,59.3375,49.75083333,57.10916667,1333.833333,3321.885417,5229.552083,0.208333333,0,5.13
15/02/2017,50.6875,55.67833333,48.8525,55.15083333,2039.208333,3170.854167,5325.322917,1,0,5.06
16/02/2017,56.91166667,66.5175,54.89833333,60.2425,405.75,3195.166667,5380.104167,1.208333333,0,4.93
17/02/2017,61.465,69.44666667,56.105,62.43833333,1141.625,3306.53125,5412.083333,1.375,0,4.97
18/02/2017,49.00208333,55.88,49.96166667,52.215,481.125,2852.666667,4818.65625,1.208333333,0,4.97
19/02/2017,38.50958333,44.1975,40.94583333,45.36416667,698.0833333,2789.291667,4678.65625,1.666666667,0,4.97
20/02/2017,54.29458333,65.38666667,51.73166667,60.2725,1269.958333,2733.40625,5261.041667,1.958333333,0,5.08
21/02/2017,56.74458333,62.91166667,53.59541667,61.2275,1817.666667,2877.885417,5336.458333,5.416666667,0,5.04
22/02/2017,49.66416667,59.135,54.55291667,60.03,1450.625,2811.854167,5211.510417,6.541666667,0,5.06
23/02/2017,47.76583333,52.50166667,44.21125,48.31916667,2231.291667,2734.958333,5116.541667,8.583333333,0,5.34
24/02/2017,38.40708333,42.94333333,46.28291667,51.52666667,1849.541667,2769.947917,5085.46875,7.875,0,5.38
25/02/2017,46.50333333,51.76916667,43.58125,47.02083333,813.7916667,2666.895833,4554.78125,4,0,5.38
26/02/2017,34.39375,35.48916667,36.12583333,36.76916667,1026.25,2820.989583,4262.541667,3.916666667,0,5.38
27/02/2017,49.91666667,66.51833333,44.78541667,52.2125,430.9166667,2995.260417,4974.875,5.416666667,0,5.19
28/02/2017,35.72208333,41.8775,41.58625,48.25916667,1308.541667,2909.697917,4931.729167,9.708333333,0,5.23
01/03/2017,40.035,46.71833333,38.64833333,45.29416667,627.0833333,2799.125,4956.03125,7.583333333,0,5.9
02/03/2017,42.77375,50.0075,41.68875,48.09,1098.75,2997.46875,5019.15625,6.458333333,0,5.46
03/03/2017,38.79208333,44.06,41.5975,48.04333333,311.6666667,3165.427083,5004.166667,7.083333333,0,5.59
04/03/2017,31.64958333,34.01916667,32.58083333,34.72916667,1493.541667,3258.520833,4527.65625,8.541666667,0,5.59
05/03/2017,19.51916667,23.57166667,21.74375,24.10916667,1879.208333,3162.114583,4329.833333,9.625,0,5.59
06/03/2017,42.11666667,49.15666667,40.85416667,47.35666667,1138.833333,3431.083333,4903.0625,7.291666667,0,5.48
07/03/2017,44.05291667,50.31166667,42.72875,48.16833333,822.75,3554.083333,4965.34375,6.666666667,0,5.37
08/03/2017,35.63458333,38.86333333,36.74458333,38.77,1736.25,3595.354167,4935.125,8.25,0,5.23
09/03/2017,42.23875,50.85916667,39.91875,44.6825,850.3333333,3384.447917,5011.072917,7.375,0,5.12
10/03/2017,38.77166667,44.77833333,36.55625,40.36916667,1336.708333,3509.697917,5042.114583,6.25,0,5.16
11/03/2017,34.44833333,35.97416667,36.8275,38.7625,1799.958333,3400.552083,4522.145833,6.75,0,5.16
12/03/2017,26.04833333,27.99,29.11583333,30.87916667,1333.875,3145.635417,4351.770833,6.208333333,0,5.16
13/03/2017,38.62833333,43.5375,39.24875,43.92333333,2019.375,3358.21875,4892.791667,6.583333333,0,5.15
14/03/2017,35.84333333,39.115,36.23458333,39.31916667,2159.333333,3550.479167,4847.645833,6.041666667,0,5.1
